

  ==================================================
  ENTER THE SHUFFLED COMPLEX EVOLUTION GLOBAL SEARCH
  ==================================================


*** PRINT THE INITIAL POINT AND ITS CRITERION VALUE ***

 CRITERION    X1      X2      X3      X4      X5      X6      X7      X8      X9     X10     X11     X12     X13     X14     X15     X16     X17     X18     X19
   0.000   1.250   0.275 381.250   0.275   0.7251287.500   0.188   0.063   0.275 750.025   5.750   2.250   1.258   2.250   3.500   4.600   3.500   0.750   0.000


 *** PRINT THE RESULTS OF THE SCE SEARCH ***

 LOOP TRIALS COMPLXS BEST F WORST F PAR RNG     X1      X2      X3      X4      X5      X6      X7      X8      X9     X10     X11     X12     X13     X14     X15     X16     X17     X18     X19
    0   100      10   0.000   0.000   0.339   0.560   0.710 350.812   0.771   0.5794585.704   0.090   0.131   0.411 773.780   6.506   1.354   4.358   2.162   5.910   0.509   3.035   1.767  -8.718

 POPULATION AT LOOP   0
 ----------------------
   0.000   0.339   0.560   0.710 350.812   0.771   0.5794585.704   0.090   0.131   0.411 773.780   6.506   1.354   4.358   2.162   5.910   0.509   3.035   1.767  -8.718
   0.000   0.220   1.201   0.393 491.195   0.525   0.4393912.985   0.052   0.065   0.195 587.659   4.193   1.057   2.866   2.687   5.335   3.228   3.046   0.357  -2.579
   0.000   0.265   1.485   0.094  57.597   0.417   0.5532283.307   0.229   0.010   0.271 415.922   8.375   1.114   2.588   1.936   7.456   3.130   2.273   0.873 -12.079
   0.000   0.314   0.853   0.859 411.451   0.781   0.4401849.374   0.133   0.094   0.646 109.360  15.207   1.552   2.650   2.024   4.587   0.556   4.659   0.979   4.291
   0.000   0.332   1.132   0.591  79.622   0.507   0.9002768.264   0.115   0.235   0.324 989.985  19.813   1.950   0.401   2.114   2.697   5.591   0.475   2.928 -11.610
   0.000   0.283   0.961   0.510 407.448   0.467   0.177 484.868   0.205   0.095   0.192 567.451   3.305   1.550   0.967   2.979   5.200   0.425  -0.613   2.098  -9.881
   0.000   0.405   0.585   0.515  77.070   0.847   0.363 463.788   0.206   0.012   0.600 418.432  18.523   1.607   4.351   2.037   7.397   0.561   3.912   1.991 -10.424
   0.000   0.388   0.598   0.392  57.116   0.063   0.6042223.357   0.082   0.182   0.616 523.139  12.270   0.272   4.628   0.802   2.451   2.055   4.927   2.779   2.809
   0.000   0.254   0.581   0.228 184.753   0.172   0.567 316.589   0.128   0.190   0.703 373.044   1.641   0.777   1.436   1.369   5.469   4.724   2.850   0.583   0.923
   0.000   0.345   1.438   0.913 397.363   0.627   0.7464412.529   0.214   0.029   0.176   5.943   8.989   2.982   4.605   0.124   7.211   0.958   3.584   1.797  -0.909
   0.000   0.364   0.702   0.445 249.399   0.630   0.3713734.146   0.063   0.218   0.156 614.774  11.270   1.256   4.933   2.366   2.074   5.918   3.745   2.635 -13.866
   0.000   0.307   0.515   0.510  42.050   0.362   0.7982166.825   0.123   0.067   0.794 627.235  17.279   1.653   0.893   1.841   2.722   2.083   1.053   2.632  -3.345
   0.000   0.351   1.318   0.702  27.829   0.140   0.0571517.031   0.237   0.228   0.230 786.119  16.106   2.244   2.439   0.541   6.972   4.266   1.268   2.935  -8.321
   0.000   0.386   0.740   0.736 104.286   0.197   0.1802120.642   0.008   0.092   0.246 334.946   1.170   0.312   1.834   2.164   6.322   2.906  -0.351   2.409 -11.801
   0.000   0.191   1.251   0.578 408.334   0.172   0.214 590.295   0.208   0.023   0.202 931.842   9.277   1.620   1.532   2.865   3.818   4.936  -0.973   1.483   2.939
   0.000   0.324   1.213   0.867 307.266   0.625   0.4063696.052   0.200   0.122   0.501 330.582  19.666   2.302   3.280   2.992   2.521   1.917   2.756   1.720 -12.499
   0.000   0.384   0.559   0.344 475.418   0.933   0.0993788.556   0.182   0.027   0.486 883.720  16.879   1.185   2.809   1.146   7.399   0.868   1.629   1.752  -5.637
   0.000   0.339   1.065   0.538 386.403   0.302   0.7512365.921   0.007   0.243   0.207 373.085   3.492   0.974   4.260   1.332   6.535   0.612   1.734   0.221 -12.867
   0.000   0.350   0.503   0.414 123.374   0.231   0.5583760.826   0.153   0.241   0.487 860.081   9.692   0.498   2.572   2.063   5.480   2.791   0.507   2.524  -8.316
   0.000   0.331   0.580   0.775 499.026   0.711   0.2932341.946   0.154   0.132   0.284 226.580   8.889   1.060   3.225   2.963   5.347   2.907   4.881   0.323 -10.270
   0.000   0.320   1.153   0.415 133.558   0.064   0.6483960.846   0.170   0.188   0.360 959.598   9.514   0.120   4.977   0.562   3.081   5.253   0.311   1.829  -5.409
   0.000   0.234   1.233   0.190 348.723   0.520   0.7934796.528   0.149   0.238   0.255 739.410   4.640   1.611   0.085   2.843   5.650   3.506   0.741   2.401   0.986
   0.000   0.305   0.888   0.596 468.971   0.472   0.475 756.909   0.025   0.047   0.631 473.772   5.291   1.641   2.810   0.201   6.023   4.152   1.037   2.363   4.346
   0.000   0.317   1.324   0.807 240.865   0.703   0.7864672.818   0.202   0.023   0.301 399.850   9.630   0.640   0.575   0.289   3.919   0.932   2.270   0.375 -13.089
   0.000   0.393   0.691   0.809 206.738   0.510   0.3963577.978   0.054   0.166   0.225 446.420  15.566   0.026   0.973   2.186   7.094   3.333  -0.704   1.957  -5.813
   0.000   0.394   0.787   0.727  77.525   0.214   0.179 421.290   0.051   0.027   0.907 573.977  10.609   1.279   4.557   0.379   5.719   1.430   3.938   0.023  -6.963
   0.000   0.277   0.975   0.197 417.443   0.515   0.1684002.758   0.170   0.072   0.740 360.647  19.354   2.992   0.103   1.098   2.898   3.512   3.633   0.625  -8.864
   0.000   0.283   0.857   0.482 474.388   0.618   0.8184443.024   0.145   0.041   0.401 324.498   6.590   0.643   0.224   2.704   7.677   5.039   3.924   2.308  -6.130
   0.000   0.198   0.995   0.372 372.952   0.301   0.679 709.763   0.146   0.094   0.217  84.992   1.386   2.960   1.578   2.770   7.142   4.342   3.101   2.717  -1.661
   0.000   0.340   0.797   0.671 145.355   0.619   0.5742718.239   0.081   0.087   0.562 616.579  14.723   0.968   1.610   0.138   5.653   5.237   1.203   2.429   3.377
   0.000   0.275   1.237   0.890 475.278   0.117   0.877 533.664   0.234   0.038   0.801 532.232   7.416   2.233   3.974   1.302   5.176   3.394   1.754   2.321  -9.815
   0.000   0.184   1.155   0.467 248.443   0.450   0.837 291.248   0.243   0.010   0.233 913.104  15.815   2.524   0.102   1.532   3.761   4.695   2.181   0.292   4.348
   0.000   0.355   0.989   0.718 354.222   0.494   0.0834891.405   0.017   0.054   0.917 939.678  19.339   2.911   2.559   0.686   2.996   4.977   0.138   1.009  -1.980
   0.000   0.362   0.548   0.794 101.206   0.876   0.3764975.345   0.217   0.063   0.252 909.274   3.128   2.840   4.901   2.224   7.259   1.008   3.715   0.777 -10.459
   0.000   0.315   0.826   0.895  64.063   0.683   0.2732627.800   0.142   0.050   0.506 689.059   2.934   0.471   4.267   2.750   5.392   5.608   3.521   1.598   2.717
   0.000   0.318   1.117   0.166 289.133   0.204   0.6614036.004   0.131   0.094   0.716  25.675  10.634   0.164   2.026   0.647   4.090   3.895  -0.805   2.408  -3.694
   0.000   0.333   1.038   0.622 360.325   0.949   0.368 274.499   0.066   0.249   0.322 451.653   3.701   0.533   0.238   1.968   3.473   0.523   0.969   2.186   2.646
   0.000   0.405   1.421   0.477  72.156   0.522   0.1074164.710   0.095   0.157   0.301 958.678   8.960   0.569   4.784   2.747   7.844   3.990   0.211   2.775  -9.156
   0.000   0.349   0.733   0.196 449.439   0.862   0.530 113.003   0.120   0.087   0.837 238.376  16.545   2.165   4.861   1.017   5.872   3.828   1.449   1.448  -8.753
   0.000   0.315   0.839   0.173 222.784   0.707   0.135 464.861   0.180   0.075   0.183 937.332  12.069   2.959   4.069   0.295   2.772   5.724   2.616   2.955  -9.313
   0.000   0.283   1.343   0.311 168.866   0.275   0.6294542.306   0.138   0.246   0.565 784.473  16.416   0.672   3.781   2.064   3.552   0.694   3.635   1.395   2.767
   0.000   0.367   1.321   0.769 479.498   0.414   0.1803625.447   0.197   0.234   0.579 265.767   4.674   0.744   3.595   2.608   6.788   3.854   1.284   2.709 -10.483
   0.000   0.290   0.928   0.246 389.382   0.505   0.5324231.471   0.228   0.224   0.442 568.893   7.324   0.456   0.294   1.056   2.110   5.091  -0.229   1.531  -8.559
   0.000   0.371   0.855   0.278 442.052   0.498   0.2704954.660   0.057   0.141   0.642 372.298   8.050   1.489   3.289   0.578   2.039   3.575   0.477   2.893  -8.289
   0.000   0.372   1.365   0.665  45.544   0.436   0.6784214.076   0.068   0.034   0.790 308.834   9.407   2.673   4.548   2.732   5.295   2.491  -0.451   2.668   4.954
   0.000   0.366   0.773   0.159  43.109   0.752   0.8021833.288   0.091   0.004   0.663  61.419   8.687   1.819   4.464   1.133   2.090   2.931  -0.677   0.549 -11.135
   0.000   0.244   0.503   0.325 257.868   0.844   0.578 949.040   0.187   0.032   0.192 610.479  15.730   1.087   0.254   2.558   4.176   4.793   1.606   2.183  -3.710
   0.000   0.368   1.008   0.902  99.797   0.781   0.1201502.430   0.039   0.011   0.160 345.358   7.389   1.093   0.332   1.263   5.032   4.976  -0.697   2.299  -6.349
   0.000   0.253   1.158   0.810 227.336   0.346   0.8441396.252   0.048   0.021   0.476 198.997   9.145   1.862   2.926   0.639   2.122   5.470   4.974   0.302   1.993
   0.000   0.278   0.768   0.804 436.752   0.260   0.8464938.851   0.234   0.118   0.637 203.057   4.795   2.992   1.936   0.604   2.308   3.780   3.919   0.490  -7.280
   0.000   0.309   0.643   0.831 458.342   0.702   0.3704931.386   0.197   0.036   0.834 615.035   2.327   1.557   1.646   2.685   5.626   5.566   2.558   2.199  -3.646
   0.000   0.342   0.835   0.524 216.447   0.709   0.1202941.946   0.227   0.075   0.840 944.056  19.635   2.792   4.495   2.675   6.170   4.665   1.653   0.030  -4.958
   0.000   0.403   0.648   0.208 150.535   0.783   0.1824038.446   0.080   0.156   0.720 718.375   4.857   0.454   3.248   2.901   6.244   2.154   0.333   0.200 -11.303
   0.000   0.347   0.894   0.579  66.486   0.066   0.827 607.171   0.012   0.013   0.101 491.452   8.425   0.996   2.044   0.831   7.154   1.838   4.833   1.954  -9.544
   0.000   0.344   1.124   0.448  90.860   0.907   0.9344531.972   0.242   0.067   0.393 874.829   6.491   0.504   2.425   0.095   5.385   0.980   1.953   2.521  -3.055
   0.000   0.306   0.741   0.827  30.555   0.388   0.6481323.592   0.170   0.007   0.613 374.577  15.196   1.383   2.524   1.226   4.411   2.972   3.295   0.501 -14.844
   0.000   0.323   1.155   0.463 257.839   0.821   0.8821596.464   0.230   0.162   0.948 211.420   1.636   2.571   3.352   1.980   5.324   1.871   0.657   1.912  -7.692
   0.000   0.290   0.727   0.122 356.411   0.156   0.7524091.148   0.189   0.076   0.903  20.723  12.867   0.914   3.547   1.130   4.967   5.124   1.891   0.032   1.026
   0.000   0.355   1.184   0.924 430.992   0.938   0.9493917.202   0.183   0.064   0.437 949.091   8.633   0.932   4.964   0.594   6.045   0.803   2.792   2.824   2.712
   0.000   0.275   1.240   0.245  87.889   0.865   0.6483399.338   0.247   0.022   0.118 336.079   4.288   2.391   1.441   2.046   6.621   3.253   2.352   2.369 -13.566
   0.000   0.272   1.323   0.356 215.467   0.514   0.6824440.064   0.085   0.161   0.663 636.080   3.372   2.391   2.067   0.622   3.583   3.713  -0.001   1.715  -8.177
   0.000   0.394   1.477   0.466 318.800   0.890   0.0842805.903   0.072   0.170   0.350  82.715  15.172   0.085   1.116   0.570   7.739   3.821   2.779   2.743  -2.502
   0.000   0.351   1.102   0.879 139.483   0.569   0.1944481.104   0.155   0.024   0.635 944.828   6.244   0.355   0.284   1.802   5.742   0.985  -0.648   1.086  -1.325
   0.000   0.361   0.878   0.902  35.822   0.074   0.1983201.213   0.055   0.163   0.422 191.553   2.786   2.762   2.464   1.129   2.239   5.127   2.775   1.630 -10.981
   0.000   0.313   0.971   0.060 245.147   0.271   0.3744480.146   0.132   0.077   0.233 278.178  11.458   2.570   0.639   0.641   7.964   0.624   0.771   0.036  -1.641
   0.000   0.289   0.854   0.313  45.893   0.584   0.525 610.159   0.037   0.180   0.372 436.316  14.830   2.654   1.341   2.072   4.242   0.668   2.717   1.330  -6.404
   0.000   0.425   0.663   0.703 167.937   0.701   0.8154465.301   0.044   0.130   0.572 205.534   4.450   0.530   4.349   0.395   6.054   2.434   0.987   0.435  -8.125
   0.000   0.309   0.932   0.078 159.462   0.728   0.3674215.318   0.047   0.192   0.577 619.998   6.756   0.607   1.609   1.801   2.444   2.880   4.580   1.602   1.324
   0.000   0.315   0.955   0.735 302.072   0.264   0.555 162.587   0.020   0.142   0.111  82.459   8.212   0.892   4.298   1.549   3.263   1.453   1.786   1.814  -1.430
   0.000   0.270   1.110   0.413 421.409   0.213   0.6444089.452   0.133   0.184   0.143 396.589  17.952   1.162   3.013   1.491   2.867   4.956   0.577   1.938  -3.028
   0.000   0.287   1.296   0.415 128.936   0.717   0.9404311.517   0.189   0.016   0.713 443.739   9.004   1.426   1.819   1.100   4.301   3.575   1.441   1.928  -8.058
   0.000   0.265   1.101   0.434 160.954   0.880   0.4401479.348   0.217   0.004   0.362 375.977   4.470   1.289   4.456   1.895   4.939   1.880   3.224   1.189  -6.544
   0.000   0.327   0.741   0.822 338.223   0.131   0.4864732.490   0.176   0.181   0.207 615.742  18.148   1.751   1.038   0.857   3.268   4.044   0.710   2.759 -11.220
   0.000   0.352   0.966   0.636 462.440   0.932   0.123 248.451   0.191   0.034   0.152 798.941  13.187   2.868   3.863   1.677   6.585   2.800  -0.421   2.881  -7.866
   0.000   0.351   1.231   0.526  95.667   0.579   0.4794855.873   0.136   0.083   0.878 514.627  14.213   1.652   1.020   2.442   7.643   0.608   0.216   2.254   0.795
   0.000   0.359   1.354   0.783  84.028   0.303   0.5032157.089   0.077   0.159   0.429 449.026  14.583   1.009   2.762   2.888   7.359   5.098   0.481   2.497 -11.102
   0.000   0.359   0.825   0.098 422.903   0.826   0.1903395.013   0.163   0.228   0.567 500.807  13.746   2.206   2.618   2.474   7.413   1.012   1.941   0.562 -14.867
   0.000   0.385   1.404   0.926  89.555   0.150   0.4962672.189   0.006   0.111   0.925 135.587  13.600   2.311   3.757   0.978   2.292   5.995   2.610   1.319 -14.795
   0.000   0.390   1.144   0.808 357.339   0.834   0.0754226.720   0.015   0.097   0.419  98.665   4.902   0.214   0.039   0.316   5.648   5.672   1.493   1.846   4.557
   0.000   0.264   1.022   0.065  44.927   0.348   0.8261631.791   0.200   0.158   0.117 542.242   2.362   2.427   0.230   0.799   2.204   1.353   1.624   2.271   4.478
   0.000   0.386   1.036   0.399 240.730   0.080   0.058 667.158   0.120   0.013   0.922 720.981  18.868   0.309   4.943   2.115   3.380   0.922   0.457   2.639  -8.842
   0.000   0.363   0.666   0.542 125.402   0.190   0.3294077.802   0.174   0.020   0.553 787.441  18.519   0.968   3.613   2.393   7.719   2.395   4.871   2.439  -5.813
   0.000   0.312   0.780   0.759 299.216   0.850   0.6352912.909   0.200   0.074   0.455 118.045   6.155   0.421   2.108   0.143   5.494   4.933   3.272   2.655  -3.585
