

  ==================================================
  ENTER THE SHUFFLED COMPLEX EVOLUTION GLOBAL SEARCH
  ==================================================


*** PRINT THE INITIAL POINT AND ITS CRITERION VALUE ***

 CRITERION    X1      X2      X3      X4      X5      X6      X7      X8      X9     X10     X11     X12     X13     X14     X15     X16     X17     X18     X19
   0.000   0.875   0.387 321.875   0.162   0.8374381.250   0.032   0.157   0.162 875.013   8.125   1.875   0.634   1.125   5.750   1.100   2.750   1.125  -7.500


 *** PRINT THE RESULTS OF THE SCE SEARCH ***

 LOOP TRIALS COMPLXS BEST F WORST F PAR RNG     X1      X2      X3      X4      X5      X6      X7      X8      X9     X10     X11     X12     X13     X14     X15     X16     X17     X18     X19
    0   100      10   0.000   0.000   0.261   0.652   0.797 355.582   0.650   0.9424952.480   0.132   0.208   0.767 324.240  18.494   2.290   2.130   0.339   5.970   0.481   3.130   0.958  -5.434

 POPULATION AT LOOP   0
 ----------------------
   0.000   0.261   0.652   0.797 355.582   0.650   0.9424952.480   0.132   0.208   0.767 324.240  18.494   2.290   2.130   0.339   5.970   0.481   3.130   0.958  -5.434
   0.000   0.275   1.051   0.263 452.600   0.807   0.5314351.751   0.150   0.185   0.524 351.659  10.663   2.117   0.735   1.702   3.365   4.575   4.637   1.429  -3.376
   0.000   0.291   0.671   0.334  51.433   0.207   0.849 155.579   0.123   0.231   0.570 737.919   3.495   1.147   1.222   2.779   6.013   4.383   1.341   0.521 -13.400
   0.000   0.259   1.262   0.774 190.489   0.180   0.7914593.109   0.200   0.125   0.942 785.345   2.909   2.036   4.719   1.151   7.457   2.610   2.140   0.805  -8.419
   0.000   0.343   0.678   0.748 191.673   0.487   0.2533502.709   0.017   0.051   0.893 556.990   1.058   0.014   3.471   1.940   5.657   2.480   1.400   0.267 -12.350
   0.000   0.315   1.416   0.408 258.130   0.486   0.460 822.334   0.028   0.115   0.596 183.061  11.380   2.477   1.612   0.460   4.017   4.428   4.032   1.416   1.303
   0.000   0.336   1.454   0.252 194.932   0.397   0.5862425.856   0.132   0.120   0.333 411.110  13.723   0.219   1.643   2.813   7.583   5.095   3.595   2.088  -4.355
   0.000   0.260   1.155   0.651 376.955   0.483   0.5302918.499   0.009   0.031   0.240 645.787   5.667   0.792   1.121   1.793   4.749   2.944   0.711   2.303 -13.390
   0.000   0.293   0.739   0.405 106.214   0.592   0.2934492.502   0.069   0.059   0.550 661.207   7.457   1.761   4.490   2.872   5.118   1.179   1.329   0.318   4.959
