"Hetch Hetchy forcing data [Brian Trial]"
1.0  ! stepsize (days)
ST1: All data in mm/day
"*"  ! list directed format ok here
YYYY   MM   DD   HH   rainObs     Tobs          ETobs        flowObs       
1980   10    1    0   0.00000000  12.86111111   4.79563889   0.19489155
1980   10    2    0   0.00000000  12.86111111   4.72513889   0.20318481
1980   10    3    0   0.00000000  12.30555556   4.54219444   0.19489155
1980   10    4    0   0.00000000  12.02777778   4.43897222   0.19489155
1980   10    5    0   0.00000000  11.75000000   4.35925000   0.18867161
1980   10    6    0   0.00000000  12.02777778   4.43897222   0.20318481
1980   10    7    0   0.00000000  11.19444444   4.17630556   0.19489155
1980   10    8    0   0.00000000  10.08333333   3.78691667   0.19489155
1980   10    9    0   0.00000000   9.25000000   3.43025000   0.19489155
1980   10   10    0   0.00000000   4.52777778   1.86347222   0.19489155
1980   10   11    0   2.54000000   4.52777778   1.80098822   0.18867161
1980   10   12    0   0.00000000   2.22222222   1.06077778   0.19489155
1980   10   13    0   0.00000000  -3.25000000   0.00000000   0.19489155
1980   10   14    0   0.00000000  -6.02777778   0.00000000   0.18245167
1980   10   15    0   0.00000000  -5.47222222   0.00000000   0.19489155
1980   10   16    0   0.00000000  -2.13888889   0.00000000   0.19489155
1980   10   17    0   0.00000000  -1.02777778   0.15152778   0.19489155
1980   10   18    0   0.00000000   1.19444444   0.93030556   0.18867161
1980   10   19    0   0.00000000   2.86111111   1.47913889   0.19489155
1980   10   20    0   0.00000000   3.13888889   1.51186111   0.16171852
1980   10   21    0   0.00000000   3.97222222   1.77452778   0.18639096
1980   10   22    0   0.00000000   5.08333333   2.18741667   0.19385489
1980   10   23    0   0.00000000   4.25000000   1.87775000   0.19800152
1980   10   24    0   7.62000000   1.19444444   0.50785356   0.19281824
1980   10   25    0   0.00000000  -1.86111111   0.00000000   0.20318481
1980   10   26    0   0.00000000  -1.02777778   0.05752778   0.19489155
1980   10   27    0   0.00000000  -0.75000000   0.23125000   0.18245167
1980   10   28    0   0.00000000   1.75000000   1.11325000   0.21147807
1980   10   29    0   0.00000000   1.75000000   1.06625000   0.19489155
1980   10   30    0   0.00000000   3.13888889   1.53536111   0.22205197
1980   10   31    0   0.00000000  -0.19444444   0.50819444   0.22205197
1980   11    1    0   0.00000000   4.36111111   1.93783889   0.21686868
1980   11    2    0   0.00000000   6.30555556   2.58989444   0.17540240
1980   11    3    0   0.00000000   6.58333333   2.71661667   0.18867161
1980   11    4    0   0.00000000   6.86111111   2.74933889   0.17415841
1980   11    5    0   0.00000000   5.47222222   2.28022778   0.18867161
1980   11    6    0   0.00000000   4.36111111   1.89083889   0.18245167
1980   11    7    0   0.00000000   3.52777778   1.55767222   0.18245167
1980   11    8    0   0.00000000   1.86111111   1.07933889   0.22536927
1980   11    9    0   0.00000000   1.58333333   0.99961667   0.20774610
1980   11   10    0   2.54000000  -0.36111111   0.21457711   0.20318481
1980   11   11    0  25.40000000  -3.13888889   0.00000000   0.23843115
1980   11   12    0   0.00000000  -3.69444444   0.00000000   0.23843115
1980   11   13    0   0.00000000  -3.97222222   0.00000000   0.23013790
1980   11   14    0   0.00000000  -3.13888889   0.00000000   0.18867161
1980   11   15    0   0.00000000  -3.13888889   0.00000000   0.17415841
1980   11   16    0   0.00000000  -2.02777778   0.00000000   0.16586515
1980   11   17    0   0.00000000  -1.75000000   0.00000000   0.19489155
